image_name,width,height,x0,y0,x1,y1
00001736.jpg,300,199,70,6,248,144
00002565.jpg,300,168,57,9,228,121
00001905.jpg,300,200,67,9,193,109
00002015.jpg,200,300,42,20,154,210
00002767.jpg,300,200,80,12,288,177
00000831.jpg,300,168,57,2,256,135
00003486.jpg,236,157,64,24,169,106
00001468.jpg,300,209,138,27,294,154
00001483.jpg,300,181,48,1,268,152
00001124.jpg,300,199,48,0,247,109
00001865.jpg,300,200,95,7,236,116
00001870.jpg,198,300,30,12,127,180
00002376.jpg,300,205,60,14,277,187
00001131.jpg,203,300,54,18,143,167
00003478.jpg,236,157,28,3,159,105
00002772.jpg,186,300,19,5,115,182
00001535.jpg,192,300,85,0,177,160
00001910.jpg,199,300,56,23,141,172
00001904.jpg,186,300,20,23,111,189
00001938.jpg,300,211,50,14,200,134
00001045.jpg,300,210,106,17,236,126
00001912.jpg,300,224,86,17,213,126
00001523.jpg,300,199,74,42,206,143
00002002.jpg,300,220,35,0,229,123
00002016.jpg,184,300,53,41,145,211
00001325.jpg,300,220,20,0,276,203
00002162.jpg,300,225,71,26,266,192
00001480.jpg,300,200,102,29,251,148
00003081.jpg,224,300,64,36,175,205
00001697.jpg,300,279,0,0,127,138
00000990.jpg,300,200,115,13,243,115
00001442.jpg,300,243,69,0,290,170
00003484.jpg,201,300,38,21,172,252
00000166.jpg,300,183,129,7,283,114
00002003.jpg,300,200,47,8,293,199
00002995.jpg,300,199,141,23,285,134
00001536.jpg,300,199,158,26,283,125
00001907.jpg,300,208,66,26,208,144
00001085.jpg,300,187,63,0,258,117
00001046.jpg,300,215,93,2,280,155
00001720.jpg,200,300,58,1,154,165
00002211.jpg,300,220,46,14,266,198
00001724.jpg,199,300,45,48,138,207
00001042.jpg,300,218,76,14,223,141
00001917.jpg,300,200,107,15,297,166
00001095.jpg,300,199,95,1,294,142
00003319.jpg,300,199,114,10,300,164
00000837.jpg,300,143,6,0,188,104
00001320.jpg,200,300,38,0,171,206
00000994.jpg,300,209,118,28,258,147
00000943.jpg,199,300,62,4,159,171
00001650.jpg,199,300,27,12,158,237
00001686.jpg,300,165,59,2,266,135
00001862.jpg,225,300,70,30,185,208
00001484.jpg,300,204,148,63,274,162
00002006.jpg,300,207,82,8,268,161
00000177.jpg,300,200,65,4,193,106
00003126.jpg,199,300,46,23,135,175
00001731.jpg,237,300,11,0,178,216
00002560.jpg,300,207,29,0,297,206
00001914.jpg,300,220,77,2,290,183
00001525.jpg,300,202,57,9,181,106
00001531.jpg,300,200,30,0,281,194
00000834.jpg,300,190,66,3,237,128
00002414.jpg,300,199,125,27,253,126
00001874.jpg,199,300,71,4,164,167
00001860.jpg,300,211,82,9,225,126
00002399.jpg,300,200,133,43,270,150
00001120.jpg,300,200,62,6,266,168
00002429.jpg,292,300,42,9,230,234
00002415.jpg,300,168,72,0,299,155
00002367.jpg,300,150,34,0,241,116
00002171.jpg,300,155,116,0,283,101
00002165.jpg,300,205,88,0,219,99
00002987.jpg,300,138,120,17,266,93
00001083.jpg,197,300,70,22,160,181
00000362.jpg,300,200,118,14,243,114
00001027.jpg,200,300,28,59,144,258
00001999.jpg,300,168,20,5,240,148
00003142.jpg,300,200,71,34,231,158
00002260.jpg,300,168,4,0,260,158
00001782.jpg,300,199,136,23,264,122
00001796.jpg,300,199,105,26,284,164
00000891.jpg,300,225,49,29,235,192
00002062.jpg,300,210,79,25,253,168
00001386.jpg,300,171,53,0,269,136
00002499.jpg,300,253,93,0,300,208
00001806.jpg,300,200,84,27,279,178
00001813.jpg,200,300,46,85,142,251
00002077.jpg,200,300,67,39,164,208
00003427.jpg,300,200,66,20,233,150
00001556.jpg,300,168,17,0,279,142
00001797.jpg,225,300,65,32,165,185
00002249.jpg,300,207,28,18,270,203
00001756.jpg,300,199,91,0,298,153
00003155.jpg,300,199,77,2,241,125
00001795.jpg,300,200,0,0,294,200
00001781.jpg,199,300,57,28,148,183
00000110.jpg,300,219,96,16,236,138
00002707.jpg,300,199,112,20,241,119
00000851.jpg,300,300,0,20,200,276
00000845.jpg,300,219,89,15,232,139
00002883.jpg,300,200,32,38,202,170
00002854.jpg,300,200,75,0,261,136
00002868.jpg,200,300,74,37,161,193
